FUND ID,TRANSACTION DATE,TRANSACTION TYPE,TRANSACTION AMOUNT
1745,2014-03-31T00:00:00Z,Value,5050287.523373455
1745,2015-03-31T00:00:00Z,Value,3979355.101872902
1745,2016-03-31T00:00:00Z,Value,808733.5566387684
1745,2017-03-31T00:00:00Z,Value,204716.8042455746
1745,2018-03-31T00:00:00Z,Value,12326.369796559215
1745,2019-03-31T00:00:00Z,Value,11835.499567608535
1745,2020-03-31T00:00:00Z,Value,13937.098322277145
1745,2021-03-31T00:00:00Z,Value,0
1745,2004-12-31T00:00:00Z,Value,1907889.6674953867
1745,2005-12-31T00:00:00Z,Value,3716554.441459023
1745,2006-12-31T00:00:00Z,Value,6393618.79398445
1745,2007-12-31T00:00:00Z,Value,8399490.690746764
1745,2008-12-31T00:00:00Z,Value,9521349.988947092
1745,2009-12-31T00:00:00Z,Value,9289542.881356796
1745,2010-12-31T00:00:00Z,Value,7358935.47744341
1745,2011-12-31T00:00:00Z,Value,7729130.250573616
1745,2012-12-31T00:00:00Z,Value,6480232.0175626185
1745,2013-12-31T00:00:00Z,Value,6629367.9810383925
1745,2014-12-31T00:00:00Z,Value,3257146.3970188587
1745,2015-12-31T00:00:00Z,Value,1258796.6506009449
1745,2016-12-31T00:00:00Z,Value,906372.7161523886
1745,2017-12-31T00:00:00Z,Value,11932.129605939985
1745,2018-12-31T00:00:00Z,Value,12282.845390412213
1745,2019-12-31T00:00:00Z,Value,13977.850917443633
2521,2009-02-14T00:00:00Z,Capital Call,-1029666.9952858239
2521,2010-02-14T00:00:00Z,Capital Call,-542720.2446637675
2521,2014-02-14T00:00:00Z,Capital Call,-110282.93767888099
2521,2015-02-14T00:00:00Z,Capital Call,-120081.94986954331
2521,2017-02-14T00:00:00Z,Capital Call,-78557.81049728394
2521,2008-02-15T00:00:00Z,Capital Call,-390911.0567867756
2521,2012-02-15T00:00:00Z,Capital Call,-602135.3411924094
2521,2009-08-15T00:00:00Z,Capital Call,-403232.60724544525
2521,2010-08-15T00:00:00Z,Capital Call,-649893.9327313565
2521,2014-08-15T00:00:00Z,Capital Call,-169276.49752795696
2521,2007-11-15T00:00:00Z,Capital Call,-1267553.2331988215
2521,2008-11-15T00:00:00Z,Capital Call,-1000278.2271945849
2521,2009-11-15T00:00:00Z,Capital Call,-197788.3682847023
2521,2010-11-15T00:00:00Z,Capital Call,-107046.20831664652
2521,2011-11-15T00:00:00Z,Capital Call,-486520.59549782425
2521,2014-11-15T00:00:00Z,Capital Call,-134091.7207017541
2521,2007-05-16T00:00:00Z,Capital Call,-532703.0976489186
2521,2008-05-16T00:00:00Z,Capital Call,-396014.84049111605
2521,2010-05-16T00:00:00Z,Capital Call,-437663.6843189597
2521,2013-05-16T00:00:00Z,Capital Call,-480820.75384575874
2521,2007-03-31T00:00:00Z,Capital Call,-860339.5425975323
2521,2011-02-14T00:00:00Z,Distribution,2769526.6230949736
2521,2015-02-14T00:00:00Z,Distribution,963373.650289033
2521,2017-02-14T00:00:00Z,Distribution,444766.1068467896
2521,2019-02-14T00:00:00Z,Distribution,697345.5805476172
2521,2012-08-15T00:00:00Z,Distribution,168942.1002761597
2521,2014-08-15T00:00:00Z,Distribution,1180890.9337993623
2521,2015-08-15T00:00:00Z,Distribution,2190900.646908234
2521,2016-08-15T00:00:00Z,Distribution,249580.32623002646
2521,2020-08-15T00:00:00Z,Distribution,1028330.1504525588
2521,2012-11-15T00:00:00Z,Distribution,227510.21539504163
2521,2016-11-15T00:00:00Z,Distribution,656622.3614478986
2521,2013-05-16T00:00:00Z,Distribution,3194731.1957037873
2521,2015-05-16T00:00:00Z,Distribution,810092.139534183
2521,2007-06-30T00:00:00Z,Value,1023053.2854702299
2521,2008-06-30T00:00:00Z,Value,3287074.6603287756
2521,2009-06-30T00:00:00Z,Value,5108319.406136505
2521,2010-06-30T00:00:00Z,Value,6511277.262637206
2521,2011-06-30T00:00:00Z,Value,7043880.452823559
2521,2012-06-30T00:00:00Z,Value,8087617.427622543
2521,2013-06-30T00:00:00Z,Value,6768451.545168452
2521,2014-06-30T00:00:00Z,Value,9030179.337246284
2521,2015-06-30T00:00:00Z,Value,8129454.498216987
2521,2016-06-30T00:00:00Z,Value,5476155.055923547
2521,2017-06-30T00:00:00Z,Value,3982147.131859328
2521,2018-06-30T00:00:00Z,Value,3273045.0621501044
2521,2019-06-30T00:00:00Z,Value,2232403.338505221
2521,2020-06-30T00:00:00Z,Value,2242695.0234516487
2521,2007-09-30T00:00:00Z,Value,1019729.7789047252
2521,2008-09-30T00:00:00Z,Value,3236156.138834678
2521,2009-09-30T00:00:00Z,Value,5728015.3036269015
2521,2010-09-30T00:00:00Z,Value,6757461.80195933
2521,2011-09-30T00:00:00Z,Value,7300102.412935028
2521,2012-09-30T00:00:00Z,Value,8072920.062511825
2521,2013-09-30T00:00:00Z,Value,6884744.103644616
2521,2014-09-30T00:00:00Z,Value,8923569.079233123
2521,2015-09-30T00:00:00Z,Value,6002832.636630695
2521,2016-09-30T00:00:00Z,Value,5693430.37901666
2521,2017-09-30T00:00:00Z,Value,4131634.9723496446
2521,2018-09-30T00:00:00Z,Value,3297043.5316734645
2521,2019-09-30T00:00:00Z,Value,2241156.2720137904
2521,2020-09-30T00:00:00Z,Value,1474478.0546695583
2521,2007-03-31T00:00:00Z,Value,550682.8801578123
2521,2008-03-31T00:00:00Z,Value,3115388.5077268304
2521,2009-03-31T00:00:00Z,Value,5458140.1523731835
2521,2010-03-31T00:00:00Z,Value,6522017.639323361
2521,2011-03-31T00:00:00Z,Value,7746298.721414323
2521,2012-03-31T00:00:00Z,Value,8357646.821703983
2521,2013-03-31T00:00:00Z,Value,7719023.20450058
2521,2014-03-31T00:00:00Z,Value,9291701.060643371
2521,2015-03-31T00:00:00Z,Value,9559296.505085243
2521,2016-03-31T00:00:00Z,Value,5803673.248566796
2521,2017-03-31T00:00:00Z,Value,4505661.867131409
2521,2018-03-31T00:00:00Z,Value,3479735.459539236
2521,2019-03-31T00:00:00Z,Value,2460383.183917813
2521,2020-03-31T00:00:00Z,Value,2402679.3242372475
2521,2007-12-31T00:00:00Z,Value,2167090.3582486333
2521,2008-12-31T00:00:00Z,Value,4369806.957830454
2521,2009-12-31T00:00:00Z,Value,5656200.9437382165
2521,2010-12-31T00:00:00Z,Value,10541571.097628696
2521,2011-12-31T00:00:00Z,Value,7795541.400796168
2521,2012-12-31T00:00:00Z,Value,7614541.108691729
2521,2013-12-31T00:00:00Z,Value,8757700.023229565
2521,2014-12-31T00:00:00Z,Value,8966421.862529915
2521,2015-12-31T00:00:00Z,Value,5767012.457141701
2521,2016-12-31T00:00:00Z,Value,5087106.822409348
2521,2017-12-31T00:00:00Z,Value,3197383.7560601546
2521,2018-12-31T00:00:00Z,Value,3017604.914568958
2521,2019-12-31T00:00:00Z,Value,2388104.5981926993
585,2015-07-01T00:00:00Z,Capital Call,-1204457.0738922805
585,2013-02-14T00:00:00Z,Capital Call,-135549.8538773507
585,2014-02-14T00:00:00Z,Capital Call,-388992.91187791154
585,2014-11-14T00:00:00Z,Capital Call,-1586235.8173720539
585,2012-02-15T00:00:00Z,Capital Call,-291835.5375006795
585,2016-02-15T00:00:00Z,Capital Call,-138012.81716041267
585,2010-08-15T00:00:00Z,Capital Call,-243315.6306250021
585,2011-08-15T00:00:00Z,Capital Call,-554851.1552299373
585,2012-08-15T00:00:00Z,Capital Call,-1098217.2770654783
585,2013-08-15T00:00:00Z,Capital Call,-442662.06797100604
585,2011-11-15T00:00:00Z,Capital Call,-107499.31509997696
585,2012-11-15T00:00:00Z,Capital Call,-110629.65430196375
585,2013-11-15T00:00:00Z,Capital Call,-624337.388751097
585,2010-05-16T00:00:00Z,Capital Call,-44833.90246583149
585,2011-05-16T00:00:00Z,Capital Call,-25978.529800716788
585,2014-05-16T00:00:00Z,Capital Call,-726233.3560099825
585,2010-12-30T00:00:00Z,Capital Call,-392752.5221189484
585,2010-03-31T00:00:00Z,Capital Call,-818516.5103077888
585,2015-07-01T00:00:00Z,Distribution,1476414.2807310864
585,2013-02-14T00:00:00Z,Distribution,928764.4955152712
585,2014-02-14T00:00:00Z,Distribution,892685.7380480273
585,2014-11-14T00:00:00Z,Distribution,2060062.3795409193
585,2016-02-15T00:00:00Z,Distribution,-12890.253778375907
585,2013-08-15T00:00:00Z,Distribution,-376.9867518782616
585,2012-11-15T00:00:00Z,Distribution,406832.3239018585
585,2013-11-15T00:00:00Z,Distribution,-47.83905819609762
585,2015-11-15T00:00:00Z,Distribution,5346708.75090815
585,2013-05-16T00:00:00Z,Distribution,1116834.0467195695
585,2014-05-16T00:00:00Z,Distribution,147653.79819483976
585,2010-06-30T00:00:00Z,Value,427970.5015749279
585,2011-06-30T00:00:00Z,Value,862479.383785826
585,2012-06-30T00:00:00Z,Value,1648008.9990625437
585,2013-06-30T00:00:00Z,Value,4075791.5386261223
585,2014-06-30T00:00:00Z,Value,7005051.845048645
585,2010-09-30T00:00:00Z,Value,632079.2009125322
585,2011-09-30T00:00:00Z,Value,1365410.9122354314
585,2012-09-30T00:00:00Z,Value,2878415.2201226214
585,2013-09-30T00:00:00Z,Value,4724308.778166963
585,2015-09-30T00:00:00Z,Value,7849892.698771925
585,2010-03-31T00:00:00Z,Value,454483.31315249205
